"Profile","Profile_lab","n","mean","sd","se","median","iqr","min","max","mean_sd","mean_se"
"abt","Ambient
summer",15,0.711425782422697,0.096273836638249,0.0248577977316954,0.700342284084985,0.116391335071826,0.497422462918959,0.83464882790355,"0.711 ± 0.096","0.711 ± 0.025"
"hws1","Long
duration",14,0.903001885563959,0.115011231410985,0.030738044540777,0.921785937420958,0.191477326950786,0.714257429774779,1.07920296439828,"0.903 ± 0.115","0.903 ± 0.031"
"hws2","4-day
cycle",12,0.839004654551413,0.222145851547619,0.0641279835951882,0.832243015997963,0.301483487431025,0.506822789289678,1.20150502944933,"0.839 ± 0.222","0.839 ± 0.064"
"hws3","Increasing
duration",12,0.876132434935418,0.224956984831576,0.0649394878742985,0.8642479943427,0.243363582335234,0.5777232840947,1.28404218105734,"0.876 ± 0.225","0.876 ± 0.065"
"hws4","Decreasing
duration",14,0.864893052690705,0.234749863879075,0.0627395401590942,0.794042646043297,0.280411200050448,0.533549579695887,1.28437705747445,"0.865 ± 0.235","0.865 ± 0.063"
